"Table 1a: Estimated population by sex, single year of age and 2011 Data Zone area, and council area: 30 June 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area name,Council area,All ages,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,PERSONS,,,,,,,,,,,,,,,,
,,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
,SCOTLAND,,"5,438,100",,"52,310","53,852","56,084","57,065","57,551","58,712","60,252","62,094","59,207","60,824","60,578","58,240","57,028","56,549","55,395","53,761","53,470","55,826","57,923","63,584","66,553","69,638","70,320","71,115","72,998","74,452","78,687","78,594","75,598","75,009","75,210","72,799","72,184","71,623","69,442","70,265","71,110","70,470","69,208","66,944","62,120","60,952","64,225","64,595","65,630","69,643","73,805","76,696","75,548","78,595","79,961","80,572","79,878","82,671","81,605","81,321","79,351","77,374","74,742","73,872","71,830","69,664","67,359","64,232","63,221","61,710","59,315","59,478","59,481","60,429","61,782","66,483","49,554","46,406","46,740","44,032","39,818","36,270","36,307","34,675","32,934","30,268","28,137","25,872","23,047","20,599","18,979","16,404","13,787","11,680","41,927"
DataZone2011Code,DataZone2011Name,CouncilArea2018Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,Culter - 01,Aberdeen City,850,,3,9,8,9,11,9,10,14,11,11,8,9,11,9,6,7,10,3,4,2,1,6,7,3,6,10,22,13,18,10,9,15,6,24,15,11,20,14,12,11,9,7,10,14,16,15,20,10,14,16,13,6,10,10,17,14,13,8,14,11,16,10,8,15,9,7,11,10,1,11,13,12,6,9,11,7,5,1,3,4,7,4,3,1,1,6,3,1,3,2,6
S01006507,Culter - 02,Aberdeen City,791,,6,9,6,9,6,9,10,8,8,7,16,6,10,1,4,7,4,8,2,9,4,11,5,10,5,13,16,15,5,8,10,5,6,10,9,5,5,6,12,9,8,11,10,6,5,8,7,12,5,8,14,8,10,18,15,11,17,9,6,17,11,14,13,20,9,8,12,19,11,15,20,21,11,4,10,7,6,9,8,6,5,9,3,3,6,5,1,4,0,1,1
S01006508,Culter - 03,Aberdeen City,604,,7,6,4,4,6,3,6,8,4,7,3,3,5,6,6,3,1,6,5,3,2,6,8,6,8,13,14,9,15,12,20,8,10,7,7,13,4,14,11,9,7,8,2,14,12,5,19,6,8,6,10,9,13,16,7,11,8,12,9,10,3,13,7,7,6,12,8,4,10,4,3,5,2,3,3,0,7,4,0,4,0,1,1,0,1,4,0,1,1,2,4
S01006509,Culter - 04,Aberdeen City,525,,5,2,5,5,11,4,9,5,3,7,5,8,11,5,8,7,8,7,4,2,0,1,3,1,3,2,5,9,5,12,8,5,5,5,6,10,7,2,11,12,3,7,10,5,7,9,11,6,3,7,4,6,9,6,6,7,8,3,6,8,5,7,11,8,5,7,10,8,13,9,10,11,0,2,4,5,4,3,5,6,4,3,3,1,4,1,2,1,2,3,4
S01006510,Culter - 05,Aberdeen City,660,,5,7,5,8,3,5,8,3,7,6,7,8,6,6,5,7,5,9,13,6,4,4,8,6,6,5,12,13,9,7,10,9,3,10,7,0,9,11,6,6,3,4,9,8,6,14,10,13,9,8,14,9,12,12,7,14,12,5,15,8,10,3,11,5,4,8,6,8,3,8,2,6,5,8,7,12,6,6,5,7,7,7,1,4,3,5,1,1,6,8,21
S01006511,Culter - 06,Aberdeen City,746,,5,5,13,3,5,5,7,7,6,10,3,11,7,7,4,8,7,10,3,4,3,14,8,7,6,11,9,5,6,11,5,10,8,10,3,2,12,6,8,3,9,8,7,11,4,4,10,9,6,9,12,14,12,13,14,10,18,10,5,11,15,20,16,7,10,12,9,13,10,8,9,14,12,13,8,5,7,11,8,14,8,3,9,2,4,2,4,4,2,4,10
S01006512,Culter - 07,Aberdeen City,519,,8,2,7,3,0,6,1,10,2,10,12,12,11,14,10,13,10,17,6,1,4,2,3,5,2,2,4,5,5,4,3,4,3,5,4,4,4,4,1,9,5,10,7,7,9,5,11,10,15,6,7,10,13,9,12,13,12,11,3,9,9,4,7,3,4,8,15,2,5,2,3,4,4,5,4,0,1,2,1,2,3,3,1,1,2,1,1,2,1,0,3
S01006513,"Cults, Bieldside and Milltimber West - 01",Aberdeen City,818,,7,6,3,6,9,10,10,7,14,7,11,15,9,4,8,6,5,15,1,4,6,4,4,4,5,1,4,3,2,7,4,6,9,9,5,8,13,9,13,19,11,9,6,8,7,5,8,4,5,19,7,9,5,21,16,16,8,9,9,9,7,9,13,16,9,6,17,8,6,8,7,11,6,7,16,10,7,17,6,16,7,12,13,12,4,7,6,6,8,9,49
S01006514,"Cults, Bieldside and Milltimber West - 02",Aberdeen City,"1,153",,5,8,17,10,9,8,16,18,10,14,22,15,6,19,19,29,14,24,11,12,5,20,12,15,18,18,17,15,10,13,6,16,13,11,16,16,8,23,20,12,10,12,12,10,10,17,13,21,17,22,21,18,13,21,17,11,19,15,15,11,15,13,13,11,13,12,6,5,11,3,7,13,14,7,8,15,11,8,4,9,6,4,6,2,3,4,5,8,5,5,32
S01006515,"Cults, Bieldside and Milltimber West - 03",Aberdeen City,817,,4,6,3,6,8,7,14,9,7,18,14,14,11,16,12,9,13,20,16,7,13,3,9,6,2,8,10,10,10,6,12,6,8,4,3,3,5,17,8,10,10,15,12,4,9,20,11,22,14,16,14,15,25,17,6,16,8,17,12,11,8,10,12,10,16,5,9,9,17,7,5,4,11,2,6,8,1,5,3,7,3,5,3,2,1,0,2,0,1,0,4
